PREFIJO ;CODIGO ;COMPAÑÍA AEREA;DireccionSedeCentral;MunicipioSedeCentral;TelefonoATC;TelefonoATA
1;AA ;  American Airlines;CALLE MARIA DE MOLINA, 54 , 2ª PLANTA. 28006, MADRID, MADRID;Madrid;+000 917438700;+000 917438701
5;CO ;  Continental Airlines, Inc.;;;;
6;DL ;  Delta Airlines Inc.;;;;
7;N7 ;  National Airlines Inc.;;;;
12;NW ;  Northwest Airlines Inc.;;;;
14;AC ;  Air Canada;;;;
15;TW ;  Trans World Airlines Inc.;;;;
16;UA ;  United Airlines, Inc.;;;;
18;CP ;  Canadian Airlines International;;;;
20;LH ;  Lufthansa Cargo AG;;;;
22;5U ;  L.A.D.E. Líneas Aéreas del Estado;;;;
23;FX ;  Federal Express Corp. (FedEX);;;;
27;AS ;  Alaska Airlines Inc.;;;;
28;7Q ;  Air Venezuela L.T.A.;;;;
37;US ;  US Airways;;;;
42;RG ;  Varig S.A.;;;;
44;AR ;  Aerolíneas Argentinas;;;;
45;LA ;  Lan Chile S.A.;;;;
47;TP ;  TAP – Air Portugal;;;;
48;CY ;  Cyprus Airways;;;;
49;DR ;  Mediterranean Air Service;;;;
50;OA ;  Olympic Airways;;;;
51;LB ;  Lloyd Aero Boliviano (LAB);;;;
53;EI ;  Aer Lingus Cargo;;;;
55;AZ ;  Alitalia – Linee Aeree Italiane;;;;
57;AF ;  Air France;;;;
58;IC ;  Indian Airlines;;;;
63;SB ;  Air Caledonie International;;;;
64;OK ;  CSA Cxech Airlines;;;;
65;SV ;  Saudi Arabian Airlines;;;;
68;TM ;  LAM – Linhas Aereas Mocambique;;;;
69;MJ ;  Lineas Aereas Privadas Argentinas;;;;
70;RB ;  Syrian Arab Airlines;;;;
71;ET ;  Ethiopian Airlines Enterprise;;;;
72;GF ;  Gulf Air Company G.S.C.;;;;
73;IA ;  Iraqi Airways;;;;
74;KL ;  KLM Royal Dutch Airlines;;;;
75;IB ;  Iberia Líneas Aéreas de España;;;;
76;ME ;  Middle East Airlines AirLiban;;;;
77;MS ;  Egyptair;;;;
79;PR ;  Philippine Airlines Inc.;;;;
80;LO ;  LOT – Polish Airlines;;;;
81;QF ;  Qantas Airways Ltd.;;;;
82;SN ;  SABENA;;;;
83;SA ;  South African Airways;;;;
85;SR ;  Swiss Air Transport Co. (Swissair);;;;
86;NZ ;  Air New Zealand Ltd.;;;;
87;WT ;  Nigeria Airways Ltd.;;;;
90;AN ;  Ansett Australia;;;;
91;DP ;  Air 2000 Ltd.;;;;
92;RK ;  Air Afrique;;;;
93;WG ;  Wasaya Airways Ltd.;;;;
95;6A ;  AVIACSA;;;;
96;IR ;  Iran Air;;;;
98;AI ;  Air India Ltd.;;;;
100;JQ ;  Air Jamaican Express Ltd.;;;;
108;FI ;  Icelandair;;;;
109;L9 ;  Air Mali S.A.;;;;
110;AO ;  Aviación Y Comercio S.A. (Aviaco);;;;
112;CK ;  China Cargo Airlines Ltd.;;;;
114;LY ;  EL AL Israel Airlines Ltd.;;;;
115;JU ;  Jugoslovenski Aerotransporr (JAT);;;;
117;SK ;  Scandinavian Airlines System (SAS);;;;
118;DT ;  TAAG Linhas Aereas de Angola;;;;
124;AH ;  Air Algerie;;;;
125;BA ;  British Airways P.L.C.;;;;
129;MP ;  Martinair Holland N.V.;;;;
130;UK ;  KLM uk Ltd.;;;;
131;JL ;  Japan Airlines Company;;;;
132;MX ; Mexicana de Aviación;;;;
133;LR ;  Lineas Aereas Costarricenses;;;;
134;AV ;  Avianca;;;;
135;VT ;  Air Tahiti;;;;
136;CU ;  Cubana de Aviación S.A.;;;;
137;VX ;  Aerolíneas Centrales de Colombia;;;;
138;HG ;  Haiti International Airlines;;;;
139;AM ;  Aeroméxico;;;;
143;AU ;  Cielos del Sur/Austral Líneas Aéreas;;;;
145;UC ;  Ladeco S.A./Ladeco Airlines;;;;
147;AT ;  Royal Air Maroc;;;;
148;LN ;  Jamahiriya Libyan Arab Airlines;;;;
149;LG ;  Luxair;;;;
152;VH ;  Aeropostal Alas de Venezuela;;;;
155;ES ;  DHL International E.C.;;;;
156;EH ; SAETA Soc Ecuatoriana de Ttes Aereos;;;;
157;QR ;  Qatar Airways (W.L.L.);;;;
159;ND ;  Airlink Limited;;;;
160;CX ;  Cathay Pacific Airways;;;;
162;PH ;  Polynesian Limited;;;;
165;JP ;  Adria Airways;;;;
170;GE ;  Trans Asia Airways;;;;
172;CV ;  Cargolux Airlines International;;;;
173;HA ;  Hawaiian Airlines;;;;
174;MR ;  Air Mauritanie;;;;
176;EK ;  Emirates;;;;
180;KE ;  Korean Air Lines Co. Ltd.;;;;
190;TY ;  Air Caledonie;;;;
202;TA ;  TACA International Airlines;;;;
205;NH ;  All Nippon Airways Co. Ltd.;;;;
210;PL ;  Aeroperu;;;;
214;PK ;  Pakistan International Airlines;;;;
220;LH ;  Deutsche  Lufthansa AG;;;;
229;KU ;  Kuwait Airways;;;;
230;CM ;  COPA;;;;
232;MH ;  Malaysian Airlines System Berhad;;;;
234;JD ;  Japan Air System Company;;;;
235;TK ;  Turkish Airlines;;;;
236;BD ;  British Midland Airways Ltd.;;;;
242;A4 ;  Southern Winds S.A.;;;;
245;7F ;  Finnair Air;;;;
260;FJ ;  Air Pacific Ltd.;;;;
269;EQ ;  TAME Linea Aerea Del Ecuador;;;;
278;FS ;  Servicios de Ttes Aereos Fueguinos;;;;
284;T2 ;  Thai Air Cargo Co. Ltd.;;;;
286;PU ;  PLUNA;;;;
297;CI ;  China Airlines;;;;
341;EU ;  Ecuatoriana de Aviación S.A.;;;;
343;VP ;  VASP;;;;
349;KM ;  Maersk Air;;;;
353;UN ;  Japan Transocean Air Co. Ltd.;;;;
401;HP ;  America West Airlines Inc.;;;;
403;PO ;  Polair Air Cargo, Inc.;;;;
404;JW ;  Arrow Air Inc.;;;;
406;5X ;  UPS;;;;
423;ER ;  DHL Airways;;;;
429;D7 ;  Dinar Lineas Aéreas S.A.;;;;
430;9E ;  Express Airlines, Inc.;;;;
466;5Z ;  Airfreight Express Ltd.;;;;
468;WO ;  World Airways;;;;
471;ZV ;  Air Midwest;;;;
472;BN ;  Forward Air International Airlines;;;;
480;DH ;  Atlantic Coast Airlines/United Exp.;;;;
486;8G ;  Gulf & Caribbean Cargo;;;;
494;EZ ;  Evergreen International Airlines;;;;
527;UC ;  LADECO Cargo;;;;
528;ZN ;  Eagle Airlines Luftverkehrsges;;;;
529;A2 ;  Cielos del Peru S.A.;;;;
532;E4 ;  Aero Asia International Ltd.;;;;
544;LP ;  Lan Peru S.A.;;;;
550;BL ;  Pacific Airlines Co. Ltd.;;;;
553;FC ;  Falcon Express Cargo Airlines;;;;
555;SU ;  Aeroflot;;;;
591;EB ;  Emery Worldwide Airlines Inc.;;;;
592;3Q ;  China Yunnan Airlines;;;;
608;RS ;  Intercontinental de Aviación;;;;
617;HF ;  Hapag Lloyd Fluggesellschaft;;;;
618;SQ ;  Singapore Airlines;;;;
619;F6 ;  China National Aviation Corp.;;;;
653;TR ;  Transbrasil S.A. Linhas Aereas;;;;
667;PE ;  Air Europe S.p.A.;;;;
680;JK ;  Spanair S.A.;;;;
683;CL ;  Lufthansa CityLine GmbH;;;;
688;EG ;  Japan Asia Airways Co.Ltd.;;;;
692;PZ ;  TAM S.A.;;;;
695;BR ;  EVA Airways Corporation;;;;
700;5C ;  C.A.L. Cargo Airlines;;;;
702;VB ;  Maersk Air Ltd.;;;;
708;JO ;  JALways Co. Ltd.;;;;
725;YU ;  Aerolíneas Dominicanas S.A.;;;;
731;MF ;  Xiamen Airlines Company;;;;
768;EL ;  Air Nippon Co.;;;;
774;FM ;  Shangai Airlines;;;;
779;XW ;  China Xinhua Airlines;;;;
781;MU ;  China Eastern Airlines;;;;
782;CJ ;  China Northern Airlines;;;;
783;WH ;  China Northwest Airlines;;;;
784;CZ ;  China Southern Airlines;;;;
785;SZ ;  China Southwest Airlines;;;;
824;XT ;  KLM Exel;;;;
832;GB ;  ABX Air, Inc.;;;;
865;MY ;  Aerotransportes Mas de Carga;;;;
877;KK ;  TAM Transportes Aereos Regionais;;;;
898;ML ;  Olympic Aviation S.A.;;;;
929;N6 ;  Aero Continente;;;;
933;KZ ;  Nippon Cargo Airlines;;;;
941;ZQ ;  Ansett New Zealand;;;;
942;VW ;  Transportes Aeromar;;;;
957;JJ ;  TAM Ttes. Aereos Meridionais;;;;
970;BX ;  Coast Air K.S.;;;;
992;D5 ;  DHL Aero Expresso;;;;
996;UX ;  Air Europa Lineas Aereas;;;;
999;CA ;  Air China International Corp.;;;;
